,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
0,Andreas Peter Ahlstrøm,Chefkonsulent,male,0000-0001-8235-8070,GGgIsLIAAAAJ,9-s2.0-12244890200,A. P. Ahlstrøm,A. Ahlstrøm,Andreas P. Ahlstrøm,Andreas Ahlstrøm,22.0,28.0
1,Signe Bech Andersen,Statsgeolog,female,0000-0002-8216-0141,UYzuNzIAAAAJ,9-s2.0-8447628500,S. B. Andersen,S. Andersen,Signe B. Andersen,Signe Andersen,21.0,19.0
2,Camilla Snowman Andresen,Seniorforsker,female,0000-0002-5249-1812,RYRnYGAAAAAJ,9-s2.0-6602699958,C. S. Andresen,C. Andresen,Camilla S. Andresen,Camilla Andresen,17.0,18.0
3,Jason E. Box,Forskningsprofessor,male,,Q9Rf20QAAAAJ,9-s2.0-57153656200,J. E. Box,J. Box,Jason E. Box,Jason Box,53.0,64.0
4,Michele Citterio,Seniorforsker,male,,wNHFtKsAAAAJ,9-s2.0-25624257300,M. Citterio,M. Citterio,Michele Citterio,Michele Citterio,18.0,22.0
5,William Colgan,Seniorforsker,male,,k9qTlgkAAAAJ,9-s2.0-24066456500,W. Colgan,W. Colgan,William Colgan,William Colgan,23.0,29.0
6,Robert Schjøtt Fausto,Seniorforsker,male,0000-0003-1317-8185,jUEMsxgAAAAJ,9-s2.0-25624278100,R. S. Fausto,R. Fausto,Robert S. Fausto,Robert Fausto,22.0,23.0
7,Penelope Ruth How,AC-medarbejder,female,,946wHTUAAAAJ,9-s2.0-55801725200,P. R. How,P. How,Penelope R. How,Penelope How,6.0,7.0
8,Nanna Bjørnholt Karlsson,Seniorforsker,female,0000-0003-0423-8705,g4HL6hQAAAAJ,9-s2.0-57193760039,N. B. Karlsson,N. Karlsson,Nanna B. Karlsson,Nanna Karlsson,14.0,16.0
9,Kristian Kjellerup Kjeldsen,Forsker,male,0000-0002-8557-5131,lVFufhUAAAAJ,9-s2.0-42261907400,K. K. Kjeldsen,K. Kjeldsen,Kristian K. Kjeldsen,Kristian Kjeldsen,22.0,24.0
10,Niels Jakup Korsgaard,Forsker,male,0000-0002-8700-7023,Qh-4ExoAAAAJ,9-s2.0-55808072238,N. J. Korsgaard,N. Korsgaard,Niels J. Korsgaard,Niels Korsgaard,15.0,17.0
11,Anna Bang Kvorning,Ph.d.-studerende,female,,,9-s2.0-57223396322,A. B. Kvorning,A. Kvorning,Anna B. Kvorning,Anna Kvorning,1.0,
12,Signe Hillerup Larsen,Forsker,female,,efWYYsIAAAAJ,9-s2.0-35768079700,S. H. Larsen,S. Larsen,Signe H. Larsen,Signe Larsen,8.0,16.0
13,Anja Løkkegaard,Ph.d.-studerende,female,,,9-s2.0-57219929580,A. Løkkegaard,A. Løkkegaard,Anja Løkkegaard,Anja Løkkegaard,1.0,
14,Kenneth David Mankoff,Seniorforsker,male,,hwzuz4UAAAAJ,9-s2.0-14831630600,K. D. Mankoff,K. Mankoff,Kenneth D. Mankoff,Kenneth Mankoff,18.0,22.0
15,Peter Friis Møller,Seniorrådgiver,male,,CM_UKCcAAAAJ,9-s2.0-7402428532,P. F. Møller,P. Møller,Peter F. Møller,Peter Møller,3.0,76.0
16,Mimmi Oksman,Postdoc,female,0000-0002-8386-516X,,9-s2.0-56376176300,M. Oksman,M. Oksman,Mimmi Oksman,Mimmi Oksman,5.0,
17,Sofia Ribeiro,Seniorforsker,female,0000-0003-0672-9161,UdyHj4oAAAAJ,9-s2.0-23987326500,S. Ribeiro,S. Ribeiro,Sofia Ribeiro,Sofia Ribeiro,17.0,19.0
18,Anja Rutishauser,Forsker,female,,mVK8-3UAAAAJ,9-s2.0-57041115400,A. Rutishauser,A. Rutishauser,Anja Rutishauser,Anja Rutishauser,3.0,3.0
19,Anne Munck Solgaard,Forsker,female,0000-0002-8693-620X,vzaLz2QAAAAJ,9-s2.0-54382462900,A. M. Solgaard,A. Solgaard,Anne M. Solgaard,Anne Solgaard,10.0,13.0
20,Baptiste Vandecrux,Forsker,male,0000-0002-4169-8973,Mt24kfgAAAAJ,9-s2.0-57190251205,B. Vandecrux,B. Vandecrux,Baptiste Vandecrux,Baptiste Vandecrux,7.0,10.0
21,Scott Norman Williamson,Postdoc,male,,U9tSWAoAAAAJ,9-s2.0-24577868100,S. N. Williamson,S. Williamson,Scott N. Williamson,Scott Williamson,9.0,12.0
22,Heike Zimmermann,Postdoc,female,0000-0002-0225-5176,b_Su8bYAAAAJ,9-s2.0-57194586385,H. Zimmermann,H. Zimmermann,Heike Zimmermann,Heike Zimmermann,8.0,13.0
